Name;Author;Price;About
Name;Author;Price;About
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;906 ₽;906 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Ускова О.: Раша;Трансгуманизм fiction;799 ₽;799 ₽;Иерусалим-Москва-Донецк - огненная ось нашего времени. В этом треугольнике проходят глобальное обновление весь реальный мир и герои романа, из их становления и соткана эта книга. Любовь и Предательство, Искушение деньгами и Властью, Право на смерть и Право на жизнь. Что перед нами - публицистика с элементами мистики или фэнтези про мир, вооруженный воюющим Искусственным Интеллектом и занавешенный документальными событиями? Всё, что описано в книге, происходит сегодня непосредственно с каждым из нас. И всем приходится отвечать на вопросы: - кто я? - с кем я? - где моя Родина? - зачем я на этой Земле? Герои книги нашли свои ответы... "О чём-то из сегодняшних событий мы постараемся забыть в будущем, но роман «Раша» напомнит, какими мы были, как думали, чего боялись, на что надеялись. В этом его главная ценность."
Греймс Джульет: Семь или восемь смертей Стеллы Фортуны;Джульет Греймс;106 ₽;106 ₽;Для Стеллы Фортуны смерть всегда была частью жизни. Ее детство полно странных и опасных инцидентов — такие банальные вещи, как приготовление ужина или кормление свиней неизбежно приводят к фатальной развязке. Даже ее мать считает, что на Стелле лежит какое-то проклятие. Испытания делают девушку крепкой и уверенной, и свой волевой характер Стелла использует, чтобы защитить от мира и жестокого отца младшую, более чувствительную сестренку Тину.
Лонсдейл Кэрри: Прошлым летом;Кэрри Лонсдейл;91 ₽;91 ₽;Элла Скай помнит каждого человека, у которого брала интервью, и каждого мимолетного знакомого. Но чего она вспомнить не может — так это своей беременности и автомобильной аварии, которая якобы лишила ее ребенка. Однажды Элла просто очнулась в больнице, а у постели сидел Дэмьен, ее муж, опустошенный произошедшим.
Бишоп Эйвери: Школа безумия;Эйвери Бишоп;103 ₽;103 ₽;Грейс Фармер хочет добавить вас в жертвы.
Проглядова Олеся Константиновна: Nomen nescio. Имя неизвестно;Олеся Проглядова;91 ₽;91 ₽;«Nomen nescio. Имя неизвестно» — книга-загадка, книга-борьба. Эн не помнит, как ее зовут, но знает, за что стоит сражаться.
Дж. Э. Шеверс: Хрустальные Звёзды;Русское фэнтези;нет данных;нет данных;Книга - победитель литературного конкурса, организованного издательством «Эксмо» и литературным порталом Author.today (около 400 000 зарегистрированных пользователей).
Леви Дебора: Человек, который видел все;Дебора Леви;91 ₽;91 ₽;Новая удивительная история от автора романов «Горячее молоко» и «Заплыв домой», роман, вошедший в Букеровский список 2019 года.
Кепнес Кэролайн: Провидение;Кэролайн Кепнес;103 ₽;103 ₽;Хлоя и Джон. Их свело ни на что не похожее чувство - словно тонкая мембрана между подростковой дружбой и истинной любовью… А потом Джон пропал. И вернулся лишь через четыре года. Чудаковатый подросток превратился в сильного красавца. И еще во что-то… Тот, кто держал его все это время в искусственной коме, заложил в юношу непонятную силу, смертельно опасную для всех вокруг. Не успев возвратиться, он вынужден бежать. И искать ответ на вопрос: что он такое и почему с ним это сделали? Хлоя идет по следу Джона и уверена, что его можно исцелить. Но все становится только хуже…
Линч Скотт: Хитрости Локка Ламоры;Скотт Линч;823 ₽;823 ₽;«Свежо, оригинально, крайне занимательно — и великолепно исполнено» (Джордж Мартин). Однажды Воровской наставник явился к отцу Цеппи, Безглазому священнику храма Переландро, чтобы сбыть с рук несносного мальчишку Локка Ламору. Ведь Ламора, хоть и прирожденный вор, был воистину несносен, и для его исключительных талантов город-государство Каморр — прорезанное десятками каналов, раскинувшееся на множестве островов под сенью исполинских башен из стекла Древних — могло оказаться тесным. С течением лет Локку и его Благородным Канальям сходит с рук многое, вплоть до нарушения Тайного уговора, регулирующего всю жизнь Путных людей Каморра, но вот в закулисье преступного сообщества появляется Серый король — безжалостный, невидимый и неуязвимый убийца, — внося свои коррективы в очередную гениальную аферу Локка…
